#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:55:17 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:55:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table1:
#Name: J/AJ/152/157/table1
#Title: *Galaxy sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Nvel	(I3)	Number of velocities (table2)	[ucd=meta.number]
#Column	Type	(I2)	[0/11] Numerical Hubble type (1)	[ucd=meta.note]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/12.8] Mean error on Dist	[ucd=stat.error]
#Column	f_Dist	(I1)	[1/5] Flag giving the distance method (2)	[ucd=meta.code]
#Column	i	(F4.1)	[15/90] Assumed inclination angle (3)	[ucd=src.orbital.inclination;pos.posAng]
#Column	e_i	(F4.1)	[1/10] Mean error on i	[ucd=stat.error]
#Column	L3.6	(F7.3)	[0/490] Total luminosity at 3.6{mu}m (L_[3.6]_)	[ucd=phys.luminosity;em.IR]
#Column	e_L3.6	(F7.3)	[0/6.2] Mean error on L3.6	[ucd=stat.error]
#Column	Reff	(F5.2)	[0/12.4] Effective radius (R_eff_) encompassing half of the total 3.6{mu}m luminosity	[ucd=phys.size.radius]
#Column	SBeff	(F8.2)	[5.3/3317.7] Effective 3.6{mu}m surface brightness ({Sigma}_eff_), i.e., the average surface brightness within R_eff_	[ucd=phot.mag.sb]
#Column	Rdisk	(F5.2)	[0.18/18.8] The 3.6{mu}m scale length of the stellar disk (R_d_)	[ucd=src.morph.scLength]
#Column	SBdisk	(F8.2)	[12/23813.9] Extrapolated 3.6{mu}m central surface brightness of the stellar disk ({Sigma}_d_)	[ucd=phot.mag.sb]
#Column	MHI	(F7.3)	[0.01/40.1] Total HI mass (M_HI_)	[ucd=phys.mass]
#Column	RHI	(F5.2)	[0/74.3] HI radius (R_HI_) (4)	[ucd=phys.size.radius]
#Column	Vflat	(F5.1)	[0/332] Asymptotically velocity along the flat part of the rotation curve (V_f_) (5)	[ucd=phys.veloc]
#Column	e_Vflat	(F5.1)	[0/20.7] Mean error on Vflat	[ucd=stat.error]
#Column	Qual	(I3)	[1/3] Rotation-curve quality flag (1=high, 2=medium, or 3=low) (6)	[ucd=meta.code.qual]
#Column	Ref	(a14)	References for HI and H{alpha} data; in refs.dat file	[ucd=pos.frame]
#Column	L16a	(I3)	Indicates a galaxy in the SPARC paper of Lelli et al. 2016 (Cat. J/ApJ/816/L14)	[ucd=meta.number]
#Column	L16b	(I3)	Indicates a galaxy in the SPARC paper of Lelli et al. 2016 (Cat. J/ApJ/827/L19)	[ucd=meta.number]
#Column	S4G	(I3)	Indicates an object from the Spitzer Survey for Stellar Structure in Galaxies (S4G; Sheth et al. 2010, Cat. J/PASP/122/1397)	[ucd=meta.number]
#Column	EDD	(I3)	Indicates an object from the Extragalactic Distance Database (EDD; Jacobs et al. 2009, Cat. J/PASP/138/332)	[ucd=meta.number]
#Column	RC	(A2)	Rotation Curve	[ucd=meta.ref.url]
#Column	SimbadName	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	Nvel	Type	Dist	e_Dist	f_Dist	i	e_i	L3.6	e_L3.6	Reff	SBeff	Rdisk	SBdisk	MHI	RHI	Vflat	e_Vflat	Qual	Ref	L16a	L16b	S4G	EDD	RC	SimbadName	NEDname	_RA	_DE
     146	UGC07232   	  4	10	  2.83	 0.17	2	59.0	 5.0	  0.113	  0.002	 0.46	   83.34	 0.29	  227.42	  0.046	 1.54	  0.0	  0.0	  2	Sw09,Sw02     	  0	  1	  0	  0	RC	UGC07232     	UGC07232     	183.43399	+36.63127
     147	UGC07261   	  7	 8	 13.10	 3.93	1	30.0	10.0	  1.753	  0.048	 2.66	   39.16	 1.20	  566.02	  1.388	10.10	 74.7	  3.4	  2	Sw09,Sw02     	  0	  1	  0	  0	RC	UGC07261     	UGC07261     	183.80983	+20.65908
     148	UGC07323   	 10	 8	  8.00	 2.40	1	47.0	 3.0	  4.109	  0.042	 3.26	   61.49	 2.26	  283.68	  0.722	 7.14	  0.0	  0.0	  1	Sw09,Sw02     	  0	  1	  0	  0	RC	UGC07323     	UGC07323     	184.37572	+45.61929
     149	UGC07399   	 10	 8	  8.43	 2.53	1	55.0	 3.0	  1.156	  0.024	 1.27	  113.98	 1.64	  135.78	  0.745	 7.85	103.0	  3.3	  1	Sw09,Sw02     	  1	  1	  0	  0	RC	UGC07399     	UGC07399     	185.15883	+46.29102
     150	UGC07524   	 31	 9	  4.74	 0.24	2	46.0	 3.0	  2.436	  0.025	 3.61	   29.71	 3.46	  106.86	  1.779	12.11	 79.5	  3.6	  1	Sw09,Sw02     	  1	  1	  0	  0	RC	UGC07524     	UGC07524     	186.45384	+33.54675
     151	UGC07559   	  7	10	  4.97	 0.25	2	61.0	 3.0	  0.109	  0.004	 0.98	   17.90	 0.58	   55.06	  0.169	 3.76	  0.0	  0.0	  2	Sw09,Sw02     	  0	  1	  1	  0	RC	UGC07559     	UGC07559     	186.77319	+37.14177
     152	UGC07577   	  9	10	  2.59	 0.13	2	63.0	 3.0	  0.045	  0.002	 0.77	   11.94	 0.90	   54.55	  0.044	 2.07	  0.0	  0.0	  2	Sw09,Sw02     	  0	  1	  1	  0	RC	UGC07577     	UGC07577     	186.92453	+43.49947
     153	UGC07603   	 12	 7	  4.70	 1.41	1	78.0	 3.0	  0.376	  0.008	 0.85	   81.81	 0.53	  520.99	  0.258	 4.37	 61.6	  2.8	  1	Sw09,Sw02     	  1	  1	  0	  0	RC	UGC07603     	UGC07603     	187.18380	+22.82044
     154	UGC07608   	  8	10	  8.21	 2.46	1	25.0	10.0	  0.264	  0.012	 1.60	   16.48	 1.50	   46.65	  0.535	 6.73	  0.0	  0.0	  1	Sw09,Sw02     	  0	  0	  1	  0	RC	UGC07608     	UGC07608     	187.18366	+43.22383
     155	UGC07690   	  7	10	  8.11	 2.43	1	41.0	 5.0	  0.858	  0.018	 0.86	  184.01	 0.57	  395.21	  0.390	 5.50	 57.4	  3.2	  2	Sw09,Sw02     	  1	  1	  1	  0	RC	UGC07690     	UGC07690     	188.11206	+42.70412
     156	UGC07866   	  7	10	  4.57	 0.23	2	44.0	 5.0	  0.124	  0.004	 0.95	   21.92	 0.61	   97.46	  0.118	 3.30	  0.0	  0.0	  2	Sw09,Sw02     	  0	  1	  0	  0	RC	UGC07866     	UGC07866     	190.56315	+38.50163
     157	UGC08286   	 17	 6	  6.50	 0.21	2	90.0	 3.0	  1.255	  0.018	 2.25	   39.52	 1.05	 1488.78	  0.642	 8.07	 82.4	  2.3	  1	Sw09,Sw02     	  1	  0	  0	  0	RC	UGC08286     	UGC08286     	198.04916	+44.03802
     158	UGC08490   	 30	 9	  4.65	 0.53	2	50.0	 3.0	  1.017	  0.012	 1.14	  124.98	 0.67	  576.54	  0.720	 7.80	 78.6	  3.8	  1	Sw09,Sw02     	  1	  1	  0	  0	RC	UGC08490     	UGC08490     	202.40212	+58.41873
     159	UGC08550   	 11	 7	  6.70	 2.00	1	90.0	 3.0	  0.289	  0.009	 1.01	   45.38	 0.45	 1284.78	  0.288	 5.59	 56.9	  1.9	  1	Sw09,Sw02     	  1	  0	  0	  0	RC	UGC08550     	UGC08550     	203.51180	+47.91547
     160	UGC08699   	 41	 2	 39.30	 9.82	1	73.0	 9.0	 50.302	  0.695	 1.91	 2191.95	 3.09	 1370.35	  3.738	19.05	182.4	  6.9	  2	No07,No05     	  1	  1	  0	  0	RC	UGC08699     	UGC08699     	206.28612	+41.50330
     161	UGC08837   	  8	10	  7.21	 0.36	2	80.0	 5.0	  0.501	  0.015	 2.25	   15.73	 1.72	   77.42	  0.320	 4.75	  0.0	  0.0	  2	Sw09,Sw02     	  0	  1	  1	  0	RC	UGC08837     	UGC08837     	208.69001	+53.90557
     162	UGC09037   	 22	 6	 83.60	 8.40	1	65.0	 5.0	 68.614	  1.769	 5.69	  334.83	 4.28	  841.07	 19.078	39.72	152.3	  9.6	  2	Ha14          	  1	  1	  0	  0	RC	UGC09037     	UGC09037     	212.12127	+07.05800
     163	UGC09133   	 68	 2	 57.10	11.40	1	53.0	 6.0	282.926	  2.345	 5.92	 1284.78	 6.97	  864.63	 33.428	60.35	226.8	  4.2	  1	No07,No05     	  1	  1	  0	  0	RC	UGC09133     	UGC09133     	214.03213	+35.34372
     164	UGC09992   	  5	10	 10.70	 3.21	1	30.0	10.0	  0.336	  0.017	 1.62	   20.18	 1.04	   73.25	  0.318	 5.45	 33.6	  3.3	  2	Sw09,Sw02     	  0	  1	  1	  0	RC	UGC09992     	UGC09992     	235.45004	+67.25389
     165	UGC10310   	  7	 9	 15.20	 4.60	1	34.0	 6.0	  1.741	  0.053	 3.12	   28.37	 1.80	  158.79	  1.196	 9.58	 71.4	  3.9	  1	Sw09,Sw02     	  1	  1	  1	  0	RC	UGC10310     	UGC10310     	244.07459	+47.04532
     166	UGC11455   	 36	 6	 78.60	11.80	1	90.0	 1.0	374.322	  3.792	10.06	  571.26	 5.93	 9568.20	 13.335	43.44	269.4	  7.4	  1	SG06          	  1	  0	  0	  0	RC	UGC11455     	UGC11455     	292.48440	+72.11282
     167	UGC11557   	 12	 8	 24.20	 6.05	1	30.0	10.0	 12.101	  0.212	 4.18	  106.86	 2.75	  337.93	  2.605	16.66	  0.0	  0.0	  2	Sw02,dB01     	  0	  1	  0	  0	RC	UGC11557     	UGC11557     	306.00286	+60.19484
     168	UGC11820   	 10	 9	 18.10	 5.43	1	45.0	10.0	  0.970	  0.047	 2.74	   20.18	 2.08	   34.11	  1.977	12.99	  0.0	  0.0	  1	KN08,vZ97     	  0	  1	  0	  0	RC	UGC11820     	UGC11820     	327.36933	+14.23094
     169	UGC11914   	 65	 2	 16.90	 5.10	1	31.0	 5.0	150.028	  0.553	 3.12	 2425.66	 2.44	 3168.33	  0.888	 9.26	288.1	 10.5	  1	No07,No05     	  1	  1	  0	  0	RC	UGC11914     	UGC11914     	331.96820	+31.35926
     170	UGC12506   	 31	 6	100.60	10.10	1	86.0	 4.0	139.571	  3.214	12.36	  144.82	 7.38	 5608.28	 35.556	59.01	234.0	 16.8	  2	Ha14          	  1	  0	  0	  0	RC	UGC12506     	UGC12506     	349.87698	+16.07479
     171	UGC12632   	 15	 9	  9.77	 2.93	1	46.0	 3.0	  1.301	  0.030	 3.94	   13.09	 2.42	   66.81	  1.744	12.60	 71.7	  2.8	  1	Sw09,Sw02     	  1	  1	  0	  0	RC	UGC12632     	UGC12632     	352.49492	+40.99033
     172	UGC12732   	 16	 9	 13.20	 4.00	1	39.0	 6.0	  1.667	  0.048	 3.12	   26.84	 1.98	  120.46	  3.660	17.41	  0.0	  0.0	  1	Sw09,Sw02     	  0	  1	  1	  0	RC	UGC12732     	UGC12732     	355.16650	+26.23606
     173	UGCA281    	  7	11	  5.68	 0.28	2	67.0	 3.0	  0.194	  0.007	 1.57	   12.50	 1.72	   12.05	  0.062	 1.83	  0.0	  0.0	  3	Le14          	  0	  0	  0	  0	RC	UGCA281      	UGCA281      	186.56675	+48.49350
     174	UGCA442    	  8	 9	  4.35	 0.22	2	64.0	 7.0	  0.140	  0.005	 1.71	    7.60	 1.18	  116.10	  0.263	 4.37	 56.4	  2.1	  1	Co00          	  1	  1	  0	  0	RC	UGCA442      	UGCA442      	355.93979	-31.95677
     175	UGCA444    	 36	10	  0.98	 0.05	2	78.0	 4.0	  0.012	  0.000	 0.41	   11.94	 0.83	   22.74	  0.067	 2.08	 37.0	  4.8	  2	Ke07          	  1	  1	  0	  0	RC	UGCA444      	UGCA444      	000.49125	-15.46389

