#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:42:19 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:42:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/898/102&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18980102
#Name: J/ApJ/898/102
#Title: Rotation velocity & dynamical mass of gal. from HI sp. (Yu+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/898/102	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/898/102	    IVOID of underlying data collection
#INFO	creator=Yu N.	    First author or institution
#INFO	cites=bibcode:2020ApJ...898..102Y	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/898/102	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18980102	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-03-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_898_102_galaxies:
#Name: J/ApJ/898/102/galaxies
#Title: properties (Table 1) and physical parameters derived from the HI spectra (Table 4) with parameters updated from erratum published in 2020, ApJ, 902, 88
#Column	Name	(a16)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension, decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination, decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F9.6)	[-0.0008/0.03] Optical redshift from NED	[ucd=src.redshift]
#Column	q	(F5.2)	[0.12/1.0] Optical axis ratio	[ucd=phys.size.axisRatio]
#Column	e_q	(F5.2)	[0.01/0.14] Uncertainty in q	[ucd=stat.error]
#Column	l_logM	(A1)	Limit flag on logM	[ucd=meta.code.error]
#Column	logM	(F4.1)	[5.5/11.3] log of stellar mass derived in this work	[ucd=phys.mass]
#Column	inc	(I2)	[0/90] Inclination angle derived in this work	[ucd=src.orbital.inclination]
#Column	e_inc	(I2)	[5/30] Uncertainty in inc	[ucd=stat.error]
#Column	Vc	(I4)	[-199/8949] Flux intensity-weighted central velocity	[ucd=phys.veloc]
#Column	FHI	(F6.2)	[0.69/291] Total integrated flux of H I line	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	V95c	(I3)	[6/485]? Corrected line width measured at 95% flux	[ucd=spect.line.width]
#Column	V85c	(I3)	[5/357]? Corrected line width measured at 85% flux	[ucd=spect.line.width]
#Column	V75c	(I3)	[6/314]? Corrected line width measured at 75% flux	[ucd=spect.line.width]
#Column	V65c	(I3)	[7/282]? Corrected line width measured at 65% flux	[ucd=spect.line.width]
#Column	A-F	(F5.2)	[1/1.7] Corrected flux asymmetry	[ucd=src.morph.param]
#Column	A-C	(F5.2)	[1/3.15] Corrected concentration asymmetry	[ucd=src.morph.param]
#Column	C-V	(F5.2)	[2/6] Corrected concentration of HI profile	[ucd=phys.size;arith.ratio]
#Column	SNR	(A6)	SNR of the profile	[ucd=stat.snr;spect.line.profile]
#Column	logMHI	(F5.2)	[6.3/10.52] HI mass	[ucd=phys.mass]
#Column	logMdyn	(F5.2)	[7.5/12.1]? Dynamical mass, Equation 12	[ucd=phys.mass]
#Column	Note	(A4)	Note(s) (3)	[ucd=meta.note]
#Column	W16	(A3)	Display data from Wang+, 2016, J/MNRAS/460/2143 within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a16)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
Name	RAJ2000	DEJ2000	z	q	e_q	l_logM	logM	inc	e_inc	Vc	FHI	V95c	V85c	V75c	V65c	A-F	A-C	C-V	SNR	logMHI	logMdyn	Note	W16	SimbadName	NED	LEDA
DDO 183         	207.71380	+38.02081	 0.000644	 0.28	 0.03	 	 7.1	90	 5	 192	  7.71	  6	  5	  6	  7	 1.07	 1.15	 4.36	21.5  	 7.27	 8.00	    	W16	DDO 183         	NED	LEDA
UGC 8833        	208.70217	+35.83736	 0.000756	 0.91	 0.08	 	 7.2	24	13	 225	  5.89	 16	 17	 17	 17	 1.10	 1.17	 4.15	106.8 	 7.15	 8.34	   2	W16	UGC 8833        	NED	LEDA
PGC 51659       	217.01542	-46.30167	 0.001301	 0.37	 0.06	 	 6.7	77	 9	 389	 17.26	 38	 34	 31	 27	 1.04	 1.00	 5.99	14.3  	 7.72	 9.00	   1	W16	PGC 51659       	NED	LEDA
DDO 80          	157.60337	+70.05050	 0.006404	 0.59	 0.08	 	 9.4	54	 7	1929	 14.42	 79	 48	 37	 29	 1.68	 2.41	 5.12	121.4 	 9.51	10.12	   2	W16	DDO 80          	NED	LEDA
DDO 105         	179.62418	+38.07633	 0.003019	 0.52	 0.06	 	 9.0	59	 6	 902	 32.61	 81	 75	 68	 60	 1.03	 1.01	 2.95	47.7  	 9.28	10.31	   1	W16	DDO 105         	NED	LEDA
DDO 185         	208.69001	+53.90557	 0.000480	 0.31	 0.03	 	 8.1	75	 5	 136	 22.37	 45	 40	 34	 28	 1.16	 1.34	 4.13	473.8 	 8.12	 9.30	1, 2	W16	DDO 185         	NED	LEDA
IC 167          	027.78604	+21.91244	 0.009777	 0.58	 0.03	 	 9.6	55	 5	2928	 23.71	105	 86	 73	 62	 1.01	 1.06	 3.83	103.4 	 9.97	10.77	    	W16	IC 167          	NED	LEDA
IC 381          	071.11855	+75.63975	 0.008259	 0.91	 0.06	 	10.5	24	 9	2485	 22.11	325	287	259	232	 1.12	 1.33	 2.66	166.4 	 9.87	11.67	   2	W16	IC 381          	NED	LEDA
IC 529          	139.63661	+73.75932	 0.007545	 0.48	 0.04	 	10.4	62	 5	2271	 27.93	170	152	137	122	 1.03	 1.13	 2.91	148.5 	 9.91	11.15	   1	W16	IC 529          	NED	LEDA
NGC 100         	006.01182	+16.48639	 0.002805	 0.14	 0.01	 	 9.1	87	 8	 848	 41.11	102	 94	 86	 77	 1.05	 1.15	 2.97	160.0 	 9.25	10.46	   2	W16	NGC 100         	NED	LEDA
NGC 514         	021.01627	+12.91735	 0.008246	 0.71	 0.06	 	10.5	45	 7	2475	 28.10	175	160	147	133	 1.06	 1.01	 2.63	28.5  	 9.89	11.19	   1	W16	NGC 514         	NED	LEDA
NGC 691         	027.67384	+21.75990	 0.008889	 0.69	 0.03	 	10.7	48	 5	2665	 11.28	320	210	193	177	 1.20	 1.14	 2.85	66.4  	 9.57	11.24	   2	W16	NGC 691         	NED	LEDA
NGC 697         	027.82320	+22.35797	 0.010307	 0.33	 0.04	 	11.0	78	 7	3126	 55.01	223	196	180	162	 1.00	 1.09	 2.90	16.8  	10.38	11.61	   1	W16	NGC 697         	NED	LEDA
NGC 753         	029.42578	+35.91615	 0.016355	 0.63	 0.03	 	11.0	53	 5	4861	 20.35	196	174	158	143	 1.09	 1.30	 2.75	27.8  	10.34	11.49	    	W16	NGC 753         	NED	LEDA
NGC 772         	029.83159	+19.00754	 0.008246	 0.55	 0.03	 	11.3	60	 5	2471	 60.27	250	214	192	172	 1.06	 1.14	 2.98	109.2 	10.23	11.61	    	W16	NGC 772         	NED	LEDA
NGC 784         	030.32055	+28.83726	 0.000660	 0.26	 0.02	 	 8.5	77	 5	 194	 66.10	 53	 46	 40	 34	 1.22	 1.17	 3.96	71.8  	 8.70	 9.69	    	W16	NGC 784         	NED	LEDA
NGC 803         	030.93625	+16.03096	 0.007008	 0.35	 0.02	 	10.1	72	 5	2098	 27.73	139	126	116	107	 1.11	 1.18	 2.51	38.7  	 9.75	10.94	    	W16	NGC 803         	NED	LEDA
NGC 818         	032.18546	+38.77725	 0.014156	 0.35	 0.03	 	10.8	76	 6	4246	 13.83	230	214	200	184	 1.02	 1.00	 2.30	67.7  	10.05	11.51	   2	W16	NGC 818         	NED	LEDA
NGC 918         	036.45927	+18.49893	 0.005027	 0.56	 0.03	 	10.1	57	 5	1502	 21.75	144	131	119	107	 1.10	 1.29	 2.76	134.5 	 9.39	10.78	   2	W16	NGC 918         	NED	LEDA
NGC 1003        	039.82039	+40.87229	 0.002088	 0.24	 0.02	 	 9.5	78	 5	 624	176.24	105	 97	 88	 79	 1.01	 1.01	 2.90	47.9  	 9.76	10.74	   1	W16	NGC 1003        	NED	LEDA
NGC 1156        	044.92849	+25.24119	 0.001251	 0.79	 0.06	 	 9.0	38	 7	 372	 56.94	109	 77	 61	 50	 1.16	 1.30	 4.66	93.3  	 8.89	10.13	    	W16	NGC 1156        	NED	LEDA
NGC 2268        	108.57267	+84.38227	 0.007412	 0.44	 0.04	 	10.7	68	 6	2231	 17.52	193	179	164	149	 1.00	 1.05	 2.98	73.6  	 9.70	11.18	    	W16	NGC 2268        	NED	LEDA
NGC 2357        	109.42075	+23.35674	 0.007589	 0.15	 0.01	 	10.2	90	 5	2273	 35.33	167	149	133	118	 1.10	 1.21	 2.92	136.5 	 9.94	11.17	   2	W16	NGC 2357        	NED	LEDA
NGC 2460        	119.21779	+60.34938	 0.004810	 0.75	 0.04	 	10.4	42	 6	1461	 37.18	254	227	201	175	 1.11	 1.43	 3.12	110.4 	 9.70	11.37	    	W16	NGC 2460        	NED	LEDA
NGC 2541        	123.66697	+49.06144	 0.001828	 0.53	 0.03	 	 9.1	58	 5	 556	135.74	110	101	 92	 83	 1.02	 1.07	 2.89	221.0 	 9.56	10.68	   1	W16	NGC 2541        	NED	LEDA
NGC 2683        	133.17227	+33.42180	 0.001371	 0.28	 0.03	 	10.2	77	 6	 411	 63.09	216	197	179	160	 1.12	 1.23	 2.80	614.2 	 8.78	10.82	    	W16	NGC 2683        	NED	LEDA
NGC 2715        	137.02582	+78.08516	 0.004466	 0.33	 0.02	 	10.3	73	 5	1297	 57.71	156	139	125	111	 1.00	 1.06	 2.72	62.9  	 9.75	11.00	    	W16	NGC 2715        	NED	LEDA
NGC 2742        	136.88970	+60.47929	 0.004300	 0.52	 0.06	 	10.2	60	 6	1293	 19.34	199	159	142	126	 1.04	 1.04	 2.86	38.1  	 9.36	10.90	    	W16	NGC 2742        	NED	LEDA
NGC 2998        	147.18179	+44.08129	 0.015958	 0.50	 0.04	 	10.8	63	 6	4748	 24.60	227	199	179	161	 1.14	 1.46	 2.89	46.0  	10.42	11.64	   1	W16	NGC 2998        	NED	LEDA
NGC 3027        	148.91930	+72.20357	 0.003529	 0.38	 0.03	 	 9.3	69	 5	1058	 92.44	112	103	 94	 84	 1.08	 1.10	 2.91	37.6  	 9.91	10.87	   1	W16	NGC 3027        	NED	LEDA
NGC 3041        	148.27977	+16.67769	 0.004697	 0.64	 0.04	 	10.3	51	 6	1412	 21.04	174	161	148	134	 1.01	 1.12	 2.96	117.4 	 9.38	10.94	1, 2	W16	NGC 3041        	NED	LEDA
NGC 3254        	157.33301	+29.49144	 0.004520	 0.48	 0.03	 	10.3	63	 5	1352	 37.38	231	210	198	183	 1.12	 1.21	 2.41	69.0  	 9.65	11.28	    	W16	NGC 3254        	NED	LEDA
NGC 3319        	159.78972	+41.68687	 0.002465	 0.49	 0.04	 	 9.2	61	 5	 745	 57.10	106	 97	 87	 77	 1.04	 1.14	 3.06	76.6  	 9.32	10.52	    	W16	NGC 3319        	NED	LEDA
NGC 3338        	160.53145	+13.74693	 0.004343	 0.58	 0.04	 	10.5	55	 5	1308	110.76	195	179	164	149	 1.05	 1.23	 2.69	35.0  	10.06	11.38	   1	W16	NGC 3338        	NED	LEDA
NGC 3359        	161.65352	+63.22364	 0.003382	 0.70	 0.05	 	10.2	47	 6	1014	185.46	161	147	133	119	 1.03	 1.05	 2.96	99.3  	10.18	11.26	   1	W16	NGC 3359        	NED	LEDA
NGC 3432        	163.12972	+36.61878	 0.002055	 0.28	 0.03	 	 9.3	75	 5	 601	 97.93	127	109	 97	 87	 1.19	 1.47	 3.24	153.0 	 9.25	10.57	    	W16	NGC 3432        	NED	LEDA
NGC 3486        	165.09977	+28.97482	 0.002272	 0.71	 0.07	 	 9.7	45	 7	 682	122.20	149	133	120	108	 1.04	 1.16	 2.82	53.7  	 9.33	10.77	   1	W16	NGC 3486        	NED	LEDA
NGC 3614        	169.58914	+45.74829	 0.007782	 0.70	 0.05	 	10.3	46	 6	2331	 34.09	194	183	171	157	 1.03	 1.00	 2.40	11.8  	10.02	11.35	   1	W16	NGC 3614        	NED	LEDA
NGC 3646        	170.42961	+20.16954	 0.014170	 0.48	 0.03	 	11.2	66	 5	4240	 39.25	273	250	230	208	 1.01	 1.07	 2.82	32.8  	10.52	11.88	   1	W16	NGC 3646        	NED	LEDA
NGC 3666        	171.10867	+11.34201	 0.003536	 0.29	 0.02	 	 9.8	75	 5	1062	 49.19	131	121	112	101	 1.04	 1.13	 2.79	57.9  	 9.44	10.74	   1	W16	NGC 3666        	NED	LEDA
NGC 3675        	171.53577	+43.58592	 0.002568	 0.55	 0.06	 	10.6	58	 6	 771	 42.65	239	221	203	178	 1.09	 1.03	 3.28	73.7  	 9.23	11.13	    	W16	NGC 3675        	NED	LEDA
NGC 3733        	173.75659	+54.85052	 0.003953	 0.32	 0.02	 	 8.9	73	 5	1186	 58.63	119	111	101	 92	 1.06	 1.12	 2.66	24.1  	 9.79	10.83	   1	W16	NGC 3733        	NED	LEDA
NGC 3756        	174.19989	+54.29368	 0.004397	 0.51	 0.02	 	10.3	61	 5	1283	 26.49	162	151	139	126	 1.14	 1.31	 2.76	16.4  	 9.51	10.97	   1	W16	NGC 3756        	NED	LEDA
NGC 4062        	181.01597	+31.89581	 0.002528	 0.39	 0.03	 	 9.8	68	 5	 775	 24.47	158	147	134	122	 1.03	 1.00	 2.73	35.4  	 8.73	10.54	1, 2	W16	NGC 4062        	NED	LEDA
NGC 4068        	181.01360	+52.59057	 0.000700	 0.60	 0.04	 	 7.8	54	 5	 217	 33.89	 37	 33	 29	 24	 1.16	 1.13	 4.34	22.3  	 8.13	 9.19	    	W16	NGC 4068        	NED	LEDA
NGC 4096        	181.50484	+47.47836	 0.001888	 0.25	 0.01	 	 9.9	78	 5	 549	 51.47	165	135	121	108	 1.17	 1.85	 2.98	80.8  	 9.03	10.64	    	W16	NGC 4096        	NED	LEDA
NGC 4144        	182.49417	+46.45718	 0.000884	 0.19	 0.01	 	 8.6	82	 6	 285	 50.57	 73	 67	 60	 52	 1.12	 1.00	 3.41	36.8  	 8.34	 9.76	    	W16	NGC 4144        	NED	LEDA
NGC 4414        	186.61287	+31.22354	 0.002388	 0.58	 0.04	 	10.2	56	 5	 720	 67.95	221	195	173	155	 1.02	 1.19	 3.00	21.2  	 9.08	10.96	   1	W16	NGC 4414        	NED	LEDA
NGC 4534        	188.52255	+35.51835	 0.002675	 0.59	 0.06	 	 9.0	54	 6	 801	 63.39	 68	 64	 58	 53	 1.00	 1.01	 2.76	90.9  	 9.28	10.17	   1	W16	NGC 4534        	NED	LEDA
NGC 4545        	188.64256	+63.52506	 0.009106	 0.56	 0.04	 	10.3	56	 5	2731	 16.54	242	164	144	128	 1.15	 1.27	 3.02	73.9  	 9.83	11.20	    	W16	NGC 4545        	NED	LEDA
NGC 4559        	188.99037	+27.95976	 0.002692	 0.46	 0.05	 	10.0	64	 6	 813	285.79	125	117	107	 97	 1.01	 1.03	 2.89	85.2  	 9.79	10.91	   1	W16	NGC 4559        	NED	LEDA
NGC 4605        	189.99742	+61.60919	 0.000454	 0.39	 0.03	 	 9.2	68	 5	 139	 44.15	 92	 75	 63	 53	 1.17	 1.43	 3.77	238.7 	 8.26	 9.79	    	W16	NGC 4605        	NED	LEDA
NGC 4814        	193.84143	+58.34397	 0.008396	 0.73	 0.08	 	10.6	44	 8	2500	 28.36	234	216	198	180	 1.03	 1.02	 2.71	39.4  	10.00	11.48	   1	W16	NGC 4814        	NED	LEDA
NGC 5023        	198.04916	+44.03802	 0.001358	 0.13	 0.01	 	 8.8	90	 5	 428	 47.91	 86	 78	 70	 62	 1.05	 1.15	 3.05	39.9  	 8.65	10.03	    	W16	NGC 5023        	NED	LEDA
NGC 5205        	202.51538	+62.51153	 0.005891	 0.59	 0.04	 	10.1	55	 5	1767	 19.00	183	148	134	122	 1.00	 1.00	 2.75	33.2  	 9.58	10.97	   1	W16	NGC 5205        	NED	LEDA
NGC 5350        	208.33993	+40.36396	 0.007742	 0.62	 0.04	 	10.7	54	 5	2316	 27.18	176	163	151	137	 1.01	 1.03	 2.65	105.2 	 9.92	11.22	    	W16	NGC 5350        	NED	LEDA
NGC 5351        	208.36540	+37.91506	 0.012042	 0.54	 0.03	 	10.7	60	 5	3610	 24.25	234	216	198	176	 1.04	 1.09	 3.04	39.3  	10.20	11.59	   1	W16	NGC 5351        	NED	LEDA
NGC 5523        	213.71796	+25.31761	 0.003466	 0.44	 0.03	 	 9.7	65	 5	1043	 49.33	236	153	133	118	 1.02	 1.03	 3.17	79.2  	 9.60	11.01	   1	W16	NGC 5523        	NED	LEDA
NGC 5529        	213.89261	+36.22698	 0.009591	 0.12	 0.01	 	10.9	90	 5	2875	 36.30	279	257	236	212	 1.06	 1.18	 2.89	66.7  	10.20	11.75	   2	W16	NGC 5529        	NED	LEDA
NGC 5533        	214.03213	+35.34372	 0.012896	 0.55	 0.03	 	11.0	60	 5	3786	 25.42	264	221	184	155	 1.02	 1.67	 3.04	8.0   	10.27	11.66	   1	W16	NGC 5533        	NED	LEDA
NGC 5678        	218.02327	+57.92144	 0.006378	 0.52	 0.03	 	10.7	61	 5	1903	 20.88	218	195	174	154	 1.05	 1.11	 3.25	30.1  	 9.68	11.24	   1	W16	NGC 5678        	NED	LEDA
NGC 5783        	223.36782	+52.07620	 0.007795	 0.61	 0.07	 	10.0	53	 7	2340	 18.24	152	139	127	115	 1.11	 1.24	 2.70	119.3 	 9.76	11.00	   2	W16	NGC 5783        	NED	LEDA
NGC 5879        	227.44480	+57.00021	 0.002575	 0.37	 0.04	 	 9.9	70	 5	 776	 20.91	136	129	121	110	 1.03	 1.03	 2.98	43.3  	 9.07	10.62	    	W16	NGC 5879        	NED	LEDA
NGC 5899        	228.76355	+42.04985	 0.008546	 0.40	 0.02	 	10.8	71	 5	2581	 16.00	247	224	206	186	 1.01	 1.00	 2.71	28.6  	 9.77	11.40	   1	W16	NGC 5899        	NED	LEDA
NGC 5951        	233.42946	+15.00729	 0.005937	 0.22	 0.01	 	 9.9	81	 6	1783	 18.62	128	120	110	100	 1.06	 1.08	 2.65	74.8  	 9.53	10.79	   2	W16	NGC 5951        	NED	LEDA
NGC 5985        	234.90454	+59.33195	 0.008396	 0.50	 0.03	 	11.0	63	 5	2528	 21.70	286	268	250	230	 1.43	 1.78	 2.48	28.1  	 9.90	11.62	    	W16	NGC 5985        	NED	LEDA
NGC 6207        	250.76562	+36.83242	 0.002842	 0.47	 0.05	 	 9.8	63	 6	 849	 32.21	121	111	 99	 88	 1.15	 1.25	 2.96	204.4 	 9.29	10.59	   2	W16	NGC 6207        	NED	LEDA
NGC 6236        	251.14457	+70.78027	 0.004270	 0.59	 0.04	 	 9.3	54	 5	1279	 23.39	105	 95	 86	 76	 1.06	 1.10	 3.10	165.1 	 9.46	10.56	   2	W16	NGC 6236        	NED	LEDA
NGC 6255        	253.69985	+36.50088	 0.003065	 0.44	 0.03	 	 8.4	65	 5	 927	 26.18	110	 91	 80	 70	 1.13	 1.37	 3.14	259.6 	 9.26	10.44	   2	W16	NGC 6255        	NED	LEDA
NGC 6339        	259.27710	+40.84496	 0.007032	 0.63	 0.04	 	 9.7	51	 5	2116	 15.66	143	126	114	102	 1.12	 1.36	 2.76	109.0 	 9.61	10.87	   2	W16	NGC 6339        	NED	LEDA
NGC 6643        	274.94321	+74.56840	 0.004950	 0.49	 0.03	 	10.6	62	 5	1498	 23.89	172	159	144	130	 1.01	 1.03	 2.98	53.4  	 9.56	11.04	   1	W16	NGC 6643        	NED	LEDA
NGC 6674        	279.64120	+25.37511	 0.011477	 0.51	 0.05	 	10.8	63	 6	3424	 53.74	238	222	208	191	 1.01	 1.02	 2.57	31.4  	10.49	11.76	   1	W16	NGC 6674        	NED	LEDA
NGC 6689        	278.70935	+70.52389	 0.001558	 0.28	 0.01	 	 9.2	75	 5	 494	 34.27	105	 95	 85	 76	 1.04	 1.15	 2.91	222.7 	 9.05	10.37	   2	W16	NGC 6689        	NED	LEDA
NGC 7177        	330.17187	+17.73812	 0.003803	 0.68	 0.07	 	10.3	47	 7	1150	 26.75	213	186	169	152	 1.00	 1.07	 3.10	126.5 	 9.32	11.04	    	W16	NGC 7177        	NED	LEDA
NGC 7497        	347.26428	+18.17718	 0.005697	 0.35	 0.02	 	10.2	72	 5	1688	 53.72	143	124	110	 98	 1.17	 1.52	 2.90	217.7 	 9.90	10.99	   2	W16	NGC 7497        	NED	LEDA
NGC 7664        	351.66562	+25.08011	 0.011588	 0.62	 0.04	 	10.6	53	 5	3461	 26.95	205	185	169	154	 1.13	 1.32	 3.13	29.5  	10.18	11.44	   1	W16	NGC 7664        	NED	LEDA
NGC 7741        	355.97656	+26.07557	 0.002502	 0.66	 0.03	 	 9.5	49	 5	 753	 47.79	121	110	 98	 87	 1.02	 1.04	 3.01	591.6 	 9.29	10.60	   2	W16	NGC 7741        	NED	LEDA
NGC 7753        	356.77014	+29.48338	 0.017239	 0.27	 0.02	 	11.3	90	 5	5161	 21.74	182	164	145	126	 1.20	 1.46	 2.93	88.0  	10.41	11.49	    	W16	NGC 7753        	NED	LEDA
NGC 7817        	000.99541	+20.75234	 0.007702	 0.22	 0.02	 	10.7	90	 5	2291	 15.63	211	190	169	151	 1.25	 1.70	 2.95	81.1  	 9.60	11.19	   2	W16	NGC 7817        	NED	LEDA
UGC 2855        	057.08638	+70.13288	 0.004003	 0.41	 0.03	 	10.8	70	 5	1185	 66.84	211	185	163	142	 1.12	 1.30	 3.27	277.7 	 9.83	11.28	    	W16	UGC 2855        	NED	LEDA
UGC 3137        	071.57073	+76.41890	 0.003309	 0.22	 0.02	 	 9.3	80	 5	 989	 40.17	114	105	 95	 85	 1.01	 1.06	 2.93	514.0 	 9.50	10.67	   2	W16	UGC 3137        	NED	LEDA
UGC 3580        	103.87864	+69.56300	 0.004006	 0.55	 0.03	 	 9.7	57	 5	1199	 40.22	134	121	111	100	 1.03	 1.08	 2.82	307.2 	 9.62	10.84	   2	W16	UGC 3580        	NED	LEDA
UGC 5459        	152.04196	+53.08348	 0.003709	 0.19	 0.01	 	 9.8	83	 6	1115	 47.93	132	119	108	 97	 1.07	 1.21	 2.82	437.9 	 9.64	10.84	   2	W16	UGC 5459        	NED	LEDA
UGC 8146        	195.53352	+58.70057	 0.002235	 0.26	 0.02	 	 8.4	77	 5	 667	 29.67	 81	 75	 68	 62	 1.02	 1.00	 2.84	33.2  	 9.09	10.22	   1	W16	UGC 8146        	NED	LEDA
UGC 11635       	310.87530	+80.15600	 0.016024	 0.40	 0.02	 	11.0	73	 6	4798	 14.11	247	228	212	193	 1.03	 1.02	 2.52	26.7  	10.20	11.66	   1	W16	UGC 11635       	NED	LEDA
UGC 11651       	314.31409	+25.96484	 0.005087	 0.33	 0.02	 	 9.9	73	 5	1520	 20.93	134	123	113	103	 1.05	 1.19	 2.57	246.4 	 9.45	10.76	   2	W16	UGC 11651       	NED	LEDA
UGC 11707       	318.63229	+26.73458	 0.003019	 0.57	 0.03	 	10.2	56	 5	 897	 55.35	108	 97	 88	 79	 1.06	 1.26	 2.81	519.3 	 9.52	10.63	   2	W16	UGC 11707       	NED	LEDA

#Table	J_ApJ_898_102_refs:
#Name: J/ApJ/898/102/refs
#Title: References
#Column	Ref	(I2)	Reference code	[ucd=meta.note]
#Column	BibCode	(A19)	Bibcode of the reference	[ucd=meta.bib.bibcode]
#Column	Auth	(a23)	Author of the reference	[ucd=meta.bib.author]
#Column	Cat	(a21)	VizieR catalog reference	[ucd=meta.id;meta.dataset]
Ref	BibCode	Auth	Cat
 	 	 	
--	-------------------	-----------------------	---------------------
 1	2016AJ....152..157L	Lelli et al.           	Cat. J/AJ/152/157
 2	2009A&A...493..871S	Swaters et al.         	
 3	2018MNRAS.478.1611K	Koribalski et al.      	Cat. J/MNRAS/478/1611
 4	2014A&A...566A..71L	Lelli et al.           	Cat. J/A+A/566/A71
 5	2015AN....336..284D	den Heijer et al.      	
 6	2013A&A...557A.130M	Martinsson et al.      	
 7	2008AJ....136.2720T	Trachternach et al.    	
 8	2008AJ....136.2782L	Leroy et al.           	Cat. J/AJ/136/2782
 9	2001A&A...370..765V	Verheijen & Sancisi    	Cat. J/A+A/370/765
10	2001ApJ...563..694V	Verheijen              	
11	1999AJ....118..236R	Rubin et al.           	
12	1988AJ.....96..851G	Guhathakurta et al.    	
13	2007MNRAS.376.1513N	Noordermeer et al.     	
14	2013MNRAS.432.1709C	Cappellari et al.      	
15	2015AJ....149..180O	Oh et al.              	
16	2005JASS...22...89R	Rhee & Broeils         	
17	2008MNRAS.386..138B	Begum et al.           	
18	2005ApJS..160..149S	Springob et al.        	Cat. VIII/77
19	1988ApJS...67....1T	Tifft & Cocke          	
20	1986A&AS...63..323H	Huchtmeier & Richter   	
21	2004AJ....128...16K	Koribalski et al.      	Cat. J/AJ/128/16
22	1978ApJ...223..391D	Dickel & Rood          	
23	2011AJ....142..170H	Haynes et al.          	Cat. J/AJ/142/170
24	1979ApJS...40..527P	Peterson               	
25	2014MNRAS.443.1044M	Masters et al.         	Cat. J/MNRAS/443/1044
26	1991A&AS...87..425R	Richter & Huchtmeier   	
27	1975ApJ...198..527S	Shostak                	
28	1978A&A....68..321S	Shostak                	
29	2009AJ....138.1938C	Courtois et al.        	Cat. J/AJ/138/1938
30	1987MNRAS.224..953S	Staveley-Smith & Davies	
31	1980A&AS...41..189R	Rots                   	
32	1983AJ.....88..272H	Hewitt et al.          	
33	2005A&A...435..459H	Huchtmeier et al.      	Cat. J/A+A/435/459
34	1987ApJS...63..515L	Lewis                  	
35	1979ApJ...227..776K	Krumm & Salpeter       	
36	1984AJ.....89..758H	Haynes & Giovanelli    	
37	1986AJ.....91..705B	Bicay & Giovanelli     	
38	1995ApJS...96....1M	Mould et al.           	
39	1978ApJ...226..770P	Peterson et al.        	
40	1978A&A....64...23B	Bieging                	
41	1986AJ.....91..732B	Bicay & Giovanelli     	
42	1995AJ....110..581M	Matthews et al.        	
43	1998AJ....116.1169M	Matthews et al.        	
44	1993A&AS..102...57B	Bottinelli et al.      	Cat. J/A+AS/102/57
45	1978AJ.....83.1026R	Roberts                	
46	2019MNRAS.482.5106L	Li et al.              	
47	2018MNRAS.481.5592F	Forbes et al.          	
48	2014ApJ...789...63A	Adams et al.           	
49	2008AJ....136.2648D	de Blok et al.         	
50	2011AJ....142..109C	Chemin et al.          	
51	2011AJ....142...24O	Oh et al.              	
52	2019MNRAS.482..154K	Korsaga et al.         	
53	2017PhDT........28T	Truong                 	
54	2001MNRAS.325.1017V	van den Bosch & Swaters	

