#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T19:38:43 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T19:38:43	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73880500
#Name: J/MNRAS/388/500
#Title: GHASP: H{alpha} data cubes for 108 galaxies (Epinat+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	creator=Epinat B.	    First author or institution
#INFO	cites=bibcode:2008MNRAS.388..500E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/388/500	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73880500	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_388_500_galaxies:
#Name: J/MNRAS/388/500/galaxies
#Title: Model and galaxy parameters
#Column	Name	(a9)	Name	[ucd=meta.id;meta.main]
#Column	Vsys-L	(I4)	Systemic velocity found in HyperLeda data base	[ucd=phys.veloc]
#Column	Vsys-FP	(I4)	? Systemic velocity deduced from our velocity field analysis	[ucd=phys.veloc]
#Column	i-L	(I2)	Morphological inclination from HyperLeda	[ucd=src.morph]
#Column	i-FP	(I2)	? Inclination deduced from the analysis of our velocity field	[ucd=src.orbital.inclination]
#Column	l_Vres	(A1)	Limit flag on Res	[ucd=meta.code.error]
#Column	Vres	(F7.1)	? Mean residual velocity in the whole velocity field	[ucd=stat.fit.residual;phys.veloc;stat.mean]
#Column	sigres	(I2)	? Residual velocity dispersion in the whole velocity field	[ucd=stat.fit.residual;phys.veloc]
#Column	chi2	(F4.1)	? Reduced {chi}^2^ of the model	[ucd=stat.fit.chi2]
#Column	T	(F4.1)	RC3 morphological type from HyperLeda data base	[ucd=src.morph.type]
#Column	MType	(a11)	Morphological type from the HyperLeda data base	[ucd=src.morph.type]
#Column	Dist	(F5.1)	Distance (1)	[ucd=pos.distance]
#Column	i	(I2)	Inclination derived from the axial ratio, arccos(b/a)	[ucd=src.orbital.inclination]
#Column	D25	(I3)	Isophotal radius at the limiting surface brightness of 25Bmag/arcsec^2^	[ucd=phys.angSize]
#Column	Vmax	(I3)	? Maximum velocity (3)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	q_Vmax	(I1)	[1/4]? Quality flag on Vmax (5)	[ucd=meta.code.qual]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Vsys-L	Vsys-FP	i-L	i-FP	l_Vres	Vres	sigres	chi2	T	MType	Dist	i	D25	Vmax	q_Vmax	Simbad	NED	LEDA	_RA	_DE
UGC 7766 	 4.94	 0.04	 78.4	 0.6	102	  2	23	a
UGC 7766 	 4.94	 0.03	 78.4	 0.5	102	  3	23	r
UGC 7766 	 5.11	 0.06	 81.1	 1.0	 99	  3	23	r
UGC 7766 	 5.16	 0.07	 81.9	 1.1	 98	  3	23	a
UGC 7766 	 5.29	 0.06	 83.9	 1.0	106	  4	23	r
UGC 7766 	 5.44	 0.10	 86.3	 1.6	110	  3	23	a
UGC 7766 	 5.52	 0.07	 87.6	 1.1	109	  4	23	r
UGC 7766 	 5.73	 0.08	 90.9	 1.3	106	  4	23	r
UGC 7766 	 5.74	 0.06	 91.1	 1.0	110	  2	23	a
UGC 7766 	 5.88	 0.03	 93.3	 0.5	113	  2	23	a
UGC 7766 	 5.92	 0.04	 93.9	 0.6	101	  2	23	r
UGC 7766 	 5.98	 0.03	 94.9	 0.5	116	  1	23	a
UGC 7766 	 6.04	 0.04	 95.8	 0.6	101	  4	23	r
UGC 7766 	 6.09	 0.03	 96.6	 0.5	117	  2	23	a
UGC 7766 	 6.18	 0.04	 98.1	 0.6	109	  4	23	r
UGC 7766 	 6.22	 0.04	 98.7	 0.6	117	  2	23	a
UGC 7766 	 6.34	 0.04	100.6	 0.6	101	  3	23	r
UGC 7766 	 6.35	 0.03	100.8	 0.5	110	  2	23	a
UGC 7766 	 6.46	 0.03	102.5	 0.5	113	  1	23	a
UGC 7766 	 6.49	 0.03	103.0	 0.5	101	  3	23	r
UGC 7766 	 6.55	 0.04	103.9	 0.6	111	  3	23	a
UGC 7766 	 6.60	 0.03	104.7	 0.5	102	  2	23	r
UGC 7766 	 6.67	 0.03	105.8	 0.5	113	  2	23	a
UGC 7766 	 6.72	 0.05	106.6	 0.8	107	  3	23	r
UGC 7766 	 6.81	 0.04	108.1	 0.6	114	  4	23	a
UGC 7766 	 7.01	 0.07	111.2	 1.1	111	  3	23	a
UGC 7766 	 7.03	 0.15	111.5	 2.4	115	  3	23	r
UGC 7766 	 7.28	 0.08	115.5	 1.3	117	  4	23	a
UGC 7766 	 7.60	 0.13	120.6	 2.1	120	  4	23	a
UGC 7766 	 8.00	 0.54	126.9	 8.6	120	  6	23	r
UGC 7766 	 8.08	 0.17	128.2	 2.7	132	  4	23	a
UGC 7766 	 9.17	 0.10	145.5	 1.6	110	  4	23	r
UGC 7766 	 9.51	 0.07	150.9	 1.1	104	  3	23	r
UGC 7766 	 9.74	 0.63	154.5	10.0	121	  5	23	a
UGC 7766 	 9.75	 0.05	154.7	 0.8	120	  3	23	r
UGC 7766 	 9.94	 0.04	157.7	 0.6	116	  2	23	r
UGC 7766 	10.10	 0.04	160.3	 0.6	111	  2	23	r
UGC 7766 	10.24	 0.05	162.5	 0.8	107	  1	23	r
UGC 7766 	10.37	 0.04	164.5	 0.6	117	  3	23	r
UGC 7766 	10.54	 0.06	167.2	 1.0	114	  3	23	r
UGC 7766 	10.83	 0.09	171.8	 1.4	107	  3	23	r
UGC 7766 	11.15	 0.08	176.9	 1.3	106	  1	23	r
UGC 7766 	11.58	 0.24	183.7	 3.8	107	  2	23	r
UGC 7766 	13.04	 1.44	206.9	22.8	125	  4	23	a
UGC 7766 	13.45	 0.59	213.4	 9.4	116	  7	11	r
UGC 7831 	 0.02	 0.00	  0.8	 0.0	  9	  4	 1	a
UGC 7831 	 0.03	 0.00	  1.2	 0.0	 21	  4	 1	a
UGC 7831 	 0.04	 0.01	  1.6	 0.4	-17	  2	 2	r
UGC 7831 	 0.07	 0.00	  2.8	 0.0	 26	  4	 1	a
UGC 7831 	 0.08	 0.00	  3.2	 0.0	 -9	  2	 2	r
UGC 7831 	 0.09	 0.01	  3.6	 0.4	 28	  4	 6	a
UGC 7831 	 0.11	 0.00	  4.4	 0.0	 -4	  8	 4	r
UGC 7831 	 0.12	 0.00	  4.8	 0.0	 31	  2	 5	a
UGC 7831 	 0.13	 0.01	  5.2	 0.4	  0	  5	 4	r
UGC 7831 	 0.15	 0.01	  5.9	 0.4	  4	  1	 9	r
UGC 7831 	 0.16	 0.01	  6.3	 0.4	 29	  1	 5	a
UGC 7831 	 0.18	 0.00	  7.1	 0.0	 28	  1	 3	a
UGC 7831 	 0.19	 0.01	  7.5	 0.4	 11	  4	 8	r
UGC 7831 	 0.21	 0.01	  8.3	 0.4	 35	  2	13	a
UGC 7831 	 0.21	 0.01	  8.3	 0.4	  4	  2	 9	r
UGC 7831 	 0.23	 0.01	  9.1	 0.4	 35	  2	 9	a
UGC 7831 	 0.24	 0.01	  9.5	 0.4	  3	  1	13	r
UGC 7831 	 0.26	 0.01	 10.3	 0.4	 40	  2	13	a
UGC 7831 	 0.26	 0.01	 10.3	 0.4	 14	  3	11	r
UGC 7831 	 0.29	 0.01	 11.5	 0.4	 37	  2	12	a
UGC 7831 	 0.29	 0.01	 11.5	 0.4	 14	  3	11	r
UGC 7831 	 0.32	 0.01	 12.7	 0.4	 37	  3	15	a
UGC 7831 	 0.32	 0.01	 12.7	 0.4	 18	  3	14	r
UGC 7831 	 0.35	 0.01	 13.9	 0.4	 42	  3	12	a
UGC 7831 	 0.35	 0.01	 13.9	 0.4	 30	  2	14	r
UGC 7831 	 0.37	 0.01	 14.7	 0.4	 43	  2	18	a
UGC 7831 	 0.37	 0.01	 14.7	 0.4	 19	  3	21	r
UGC 7831 	 0.40	 0.01	 15.9	 0.4	 43	  3	14	a
UGC 7831 	 0.40	 0.01	 15.9	 0.4	 32	  3	19	r
UGC 7831 	 0.42	 0.01	 16.7	 0.4	 32	  3	17	r
UGC 7831 	 0.43	 0.01	 17.1	 0.4	 44	  2	17	a
UGC 7831 	 0.45	 0.01	 17.8	 0.4	 49	  2	17	a
UGC 7831 	 0.45	 0.01	 17.8	 0.4	 29	  2	17	r
UGC 7831 	 0.47	 0.01	 18.6	 0.4	 32	  2	17	r
UGC 7831 	 0.48	 0.01	 19.0	 0.4	 44	  1	17	a
UGC 7831 	 0.49	 0.01	 19.4	 0.4	 35	  2	17	r
UGC 7831 	 0.50	 0.01	 19.8	 0.4	 47	  2	17	a
UGC 7831 	 0.51	 0.00	 20.2	 0.0	 38	  1	17	r
UGC 7831 	 0.52	 0.01	 20.6	 0.4	 48	  1	17	a
UGC 7831 	 0.52	 0.00	 20.6	 0.0	 40	  3	17	r
UGC 7831 	 0.54	 0.00	 21.4	 0.0	 49	  2	17	a
UGC 7831 	 0.54	 0.00	 21.4	 0.0	 36	  3	17	r
UGC 7831 	 0.56	 0.00	 22.2	 0.0	 52	  1	17	a
UGC 7831 	 0.56	 0.00	 22.2	 0.0	 38	  2	17	r
UGC 7831 	 0.57	 0.00	 22.6	 0.0	 52	  2	17	a
UGC 7831 	 0.57	 0.00	 22.6	 0.0	 40	  3	17	r
UGC 7831 	 0.58	 0.00	 23.0	 0.0	 43	  2	17	r
UGC 7831 	 0.59	 0.00	 23.4	 0.0	 53	  2	17	a
UGC 7831 	 0.60	 0.00	 23.8	 0.0	 50	  2	17	a
UGC 7831 	 0.60	 0.00	 23.8	 0.0	 42	  2	17	r
UGC 7831 	 0.61	 0.00	 24.2	 0.0	 51	  2	17	a
UGC 7831 	 0.61	 0.00	 24.2	 0.0	 45	  2	17	r
UGC 7831 	 0.62	 0.00	 24.6	 0.0	 48	  2	17	a
UGC 7831 	 0.62	 0.00	 24.6	 0.0	 46	  1	17	r
UGC 7831 	 0.63	 0.01	 25.0	 0.4	 50	  2	17	a
UGC 7831 	 0.63	 0.00	 25.0	 0.0	 42	  3	17	r
UGC 7831 	 0.64	 0.00	 25.4	 0.0	 50	  1	17	a
UGC 7831 	 0.64	 0.00	 25.4	 0.0	 48	  2	17	r
UGC 7831 	 0.65	 0.00	 25.8	 0.0	 53	  1	17	a
UGC 7831 	 0.66	 0.00	 26.2	 0.0	 48	  2	17	r
UGC 7831 	 0.67	 0.01	 26.6	 0.4	 50	  1	17	a
UGC 7831 	 0.67	 0.00	 26.6	 0.0	 51	  1	17	r
UGC 7831 	 0.68	 0.00	 27.0	 0.0	 50	  2	17	r
UGC 7831 	 0.69	 0.01	 27.4	 0.4	 51	  2	17	a
UGC 7831 	 0.69	 0.00	 27.4	 0.0	 55	  2	17	r
UGC 7831 	 0.70	 0.00	 27.8	 0.0	 53	  2	17	a
UGC 7831 	 0.70	 0.00	 27.8	 0.0	 55	  2	17	r
UGC 7831 	 0.71	 0.00	 28.2	 0.0	 54	  1	17	a
UGC 7831 	 0.72	 0.00	 28.6	 0.0	 55	  2	17	r
UGC 7831 	 0.73	 0.00	 29.0	 0.0	 56	  1	17	a
UGC 7831 	 0.73	 0.00	 29.0	 0.0	 51	  2	17	r
UGC 7831 	 0.74	 0.00	 29.4	 0.0	 51	  2	17	a
UGC 7831 	 0.74	 0.00	 29.4	 0.0	 51	  3	17	r
UGC 7831 	 0.75	 0.00	 29.7	 0.0	 52	  2	17	a
UGC 7831 	 0.75	 0.00	 29.7	 0.0	 54	  3	17	r
UGC 7831 	 0.76	 0.00	 30.1	 0.0	 57	  1	17	a
UGC 7831 	 0.76	 0.00	 30.1	 0.0	 58	  2	17	r
UGC 7831 	 0.77	 0.00	 30.5	 0.0	 56	  1	17	a
UGC 7831 	 0.77	 0.00	 30.5	 0.0	 56	  3	17	r
UGC 7831 	 0.78	 0.00	 30.9	 0.0	 57	  3	17	a
UGC 7831 	 0.78	 0.00	 30.9	 0.0	 57	  2	17	r
UGC 7831 	 0.79	 0.00	 31.3	 0.0	 54	  1	17	a
UGC 7831 	 0.79	 0.00	 31.3	 0.0	 58	  3	17	r
UGC 7831 	 0.80	 0.00	 31.7	 0.0	 54	  2	17	a
UGC 7831 	 0.81	 0.00	 32.1	 0.0	 58	  1	17	a
UGC 7831 	 0.81	 0.00	 32.1	 0.0	 63	  2	17	r
UGC 7831 	 0.82	 0.00	 32.5	 0.0	 58	  2	17	a
UGC 7831 	 0.82	 0.00	 32.5	 0.0	 58	  3	17	r
UGC 7831 	 0.83	 0.00	 32.9	 0.0	 58	  1	17	a
UGC 7831 	 0.83	 0.00	 32.9	 0.0	 63	  1	17	r
UGC 7831 	 0.84	 0.00	 33.3	 0.0	 59	  2	17	a
UGC 7831 	 0.84	 0.00	 33.3	 0.0	 61	  3	17	r
UGC 7831 	 0.85	 0.00	 33.7	 0.0	 57	  2	17	a
UGC 7831 	 0.85	 0.00	 33.7	 0.0	 64	  2	17	r
UGC 7831 	 0.86	 0.00	 34.1	 0.0	 56	  2	17	a
UGC 7831 	 0.86	 0.00	 34.1	 0.0	 67	  2	17	r
UGC 7831 	 0.87	 0.00	 34.5	 0.0	 57	  3	17	a
UGC 7831 	 0.87	 0.00	 34.5	 0.0	 62	  3	17	r
UGC 7831 	 0.88	 0.00	 34.9	 0.0	 60	  1	17	a
UGC 7831 	 0.89	 0.00	 35.3	 0.0	 55	  2	17	a
UGC 7831 	 0.89	 0.00	 35.3	 0.0	 66	  2	17	r
UGC 7831 	 0.90	 0.00	 35.7	 0.0	 59	  2	17	a
UGC 7831 	 0.90	 0.00	 35.7	 0.0	 69	  3	17	r
UGC 7831 	 0.90	 0.00	 35.7	 0.0	 67	  4	17	r
UGC 7831 	 0.91	 0.00	 36.1	 0.0	 57	  2	17	a
UGC 7831 	 0.92	 0.00	 36.5	 0.0	 59	  2	17	a
UGC 7831 	 0.92	 0.00	 36.5	 0.0	 68	  3	17	r
UGC 7831 	 0.93	 0.00	 36.9	 0.0	 59	  2	17	a
UGC 7831 	 0.93	 0.00	 36.9	 0.0	 62	  3	17	a
UGC 7831 	 0.93	 0.00	 36.9	 0.0	 64	  3	17	r
UGC 7831 	 0.93	 0.00	 36.9	 0.0	 71	  3	17	r
UGC 7831 	 0.94	 0.00	 37.3	 0.0	 61	  3	17	a
UGC 7831 	 0.95	 0.00	 37.7	 0.0	 62	  2	17	a
UGC 7831 	 0.95	 0.00	 37.7	 0.0	 72	  2	17	r
UGC 7831 	 0.96	 0.00	 38.1	 0.0	 57	  2	17	a
UGC 7831 	 0.96	 0.00	 38.1	 0.0	 69	  4	17	r
UGC 7831 	 0.97	 0.00	 38.5	 0.0	 56	  2	17	a
UGC 7831 	 0.97	 0.00	 38.5	 0.0	 72	  3	17	r
UGC 7831 	 0.98	 0.00	 38.9	 0.0	 61	  2	17	a
UGC 7831 	 0.98	 0.00	 38.9	 0.0	 61	  2	17	a
UGC 7831 	 0.98	 0.00	 38.9	 0.0	 73	  3	17	r
UGC 7831 	 0.99	 0.00	 39.3	 0.0	 65	  1	17	a
UGC 7831 	 0.99	 0.00	 39.3	 0.0	 71	  3	17	r
UGC 7831 	 1.00	 0.00	 39.7	 0.0	 64	  3	17	a
UGC 7831 	 1.00	 0.00	 39.7	 0.0	 77	  2	17	r
UGC 7831 	 1.01	 0.00	 40.1	 0.0	 59	  2	17	a
UGC 7831 	 1.01	 0.00	 40.1	 0.0	 75	  2	17	r
UGC 7831 	 1.02	 0.00	 40.5	 0.0	 64	  1	17	a
UGC 7831 	 1.02	 0.00	 40.5	 0.0	 63	  2	17	a
UGC 7831 	 1.02	 0.00	 40.5	 0.0	 78	  3	17	r
UGC 7831 	 1.03	 0.00	 40.9	 0.0	 63	  2	17	a
UGC 7831 	 1.03	 0.00	 40.9	 0.0	 77	  3	17	r
UGC 7831 	 1.04	 0.00	 41.3	 0.0	 63	  1	17	a
UGC 7831 	 1.04	 0.00	 41.3	 0.0	 73	  3	17	r
UGC 7831 	 1.05	 0.00	 41.6	 0.0	 59	  1	17	a
UGC 7831 	 1.06	 0.00	 42.0	 0.0	 64	  2	17	a
UGC 7831 	 1.06	 0.00	 42.0	 0.0	 67	  2	17	a
UGC 7831 	 1.06	 0.00	 42.0	 0.0	 79	  1	17	r
UGC 7831 	 1.07	 0.00	 42.4	 0.0	 62	  1	17	a
UGC 7831 	 1.07	 0.01	 42.4	 0.4	 74	  2	17	r
UGC 7831 	 1.08	 0.00	 42.8	 0.0	 66	  2	17	a
UGC 7831 	 1.09	 0.00	 43.2	 0.0	 67	  2	17	a
UGC 7831 	 1.09	 0.00	 43.2	 0.0	 64	  1	17	a
UGC 7831 	 1.09	 0.00	 43.2	 0.0	 78	  1	17	r
UGC 7831 	 1.10	 0.00	 43.6	 0.0	 67	  1	17	a
UGC 7831 	 1.10	 0.00	 43.6	 0.0	 77	  1	17	r
UGC 7831 	 1.11	 0.00	 44.0	 0.0	 68	  1	17	a
UGC 7831 	 1.11	 0.00	 44.0	 0.0	 66	  1	17	a
UGC 7831 	 1.12	 0.00	 44.4	 0.0	 66	  1	17	a
UGC 7831 	 1.12	 0.00	 44.4	 0.0	 84	  2	17	r
UGC 7831 	 1.13	 0.00	 44.8	 0.0	 69	  1	17	a
UGC 7831 	 1.13	 0.00	 44.8	 0.0	 64	  1	17	a
UGC 7831 	 1.14	 0.00	 45.2	 0.0	 66	  2	17	a
UGC 7831 	 1.14	 0.01	 45.2	 0.4	 75	  2	17	r
UGC 7831 	 1.15	 0.00	 45.6	 0.0	 66	  2	17	a
UGC 7831 	 1.15	 0.00	 45.6	 0.0	 77	  1	17	r
UGC 7831 	 1.16	 0.00	 46.0	 0.0	 70	  2	17	a
UGC 7831 	 1.16	 0.00	 46.0	 0.0	 67	  1	17	a
UGC 7831 	 1.17	 0.00	 46.4	 0.0	 71	  2	17	a
UGC 7831 	 1.17	 0.01	 46.4	 0.4	 80	  2	17	r
UGC 7831 	 1.18	 0.00	 46.8	 0.0	 70	  1	17	a
UGC 7831 	 1.19	 0.00	 47.2	 0.0	 70	  2	17	a
UGC 7831 	 1.19	 0.01	 47.2	 0.4	 82	  3	17	r
UGC 7831 	 1.20	 0.00	 47.6	 0.0	 68	  2	17	a
UGC 7831 	 1.20	 0.00	 47.6	 0.0	 71	  2	17	a
UGC 7831 	 1.21	 0.00	 48.0	 0.0	 68	  1	17	a
UGC 7831 	 1.21	 0.01	 48.0	 0.4	 77	  2	17	r
UGC 7831 	 1.22	 0.00	 48.4	 0.0	 69	  1	17	a
UGC 7831 	 1.23	 0.00	 48.8	 0.0	 70	  2	17	a
UGC 7831 	 1.23	 0.00	 48.8	 0.0	 68	  1	17	a
UGC 7831 	 1.24	 0.00	 49.2	 0.0	 71	  1	17	a
UGC 7831 	 1.24	 0.01	 49.2	 0.4	 79	  2	17	r
UGC 7831 	 1.25	 0.00	 49.6	 0.0	 68	  0	17	a
UGC 7831 	 1.26	 0.00	 50.0	 0.0	 71	  2	17	a
UGC 7831 	 1.26	 0.01	 50.0	 0.4	 79	  2	17	r
UGC 7831 	 1.27	 0.00	 50.4	 0.0	 70	  1	17	a
UGC 7831 	 1.28	 0.00	 50.8	 0.0	 74	  2	17	a
UGC 7831 	 1.28	 0.01	 50.8	 0.4	 86	  2	17	r
UGC 7831 	 1.29	 0.00	 51.2	 0.0	 70	  1	17	a
UGC 7831 	 1.29	 0.00	 51.2	 0.0	 72	  3	17	a
UGC 7831 	 1.30	 0.00	 51.6	 0.0	 72	  1	17	a
UGC 7831 	 1.30	 0.01	 51.6	 0.4	 78	  3	17	r
UGC 7831 	 1.32	 0.00	 52.4	 0.0	 71	  2	17	a
UGC 7831 	 1.33	 0.00	 52.8	 0.0	 71	  1	17	a
UGC 7831 	 1.33	 0.01	 52.8	 0.4	 81	  2	17	r
UGC 7831 	 1.34	 0.00	 53.2	 0.0	 72	  2	17	a
UGC 7831 	 1.35	 0.00	 53.5	 0.0	 75	  2	17	a
UGC 7831 	 1.36	 0.01	 53.9	 0.4	 74	  3	17	r
UGC 7831 	 1.37	 0.00	 54.3	 0.0	 76	  2	17	a
UGC 7831 	 1.38	 0.00	 54.7	 0.0	 73	  2	17	a
UGC 7831 	 1.39	 0.00	 55.1	 0.0	 76	  2	17	a
UGC 7831 	 1.39	 0.01	 55.1	 0.4	 82	  3	17	r
UGC 7831 	 1.41	 0.00	 55.9	 0.0	 78	  2	17	a
UGC 7831 	 1.42	 0.00	 56.3	 0.0	 75	  2	17	a
UGC 7831 	 1.42	 0.01	 56.3	 0.4	 75	  3	17	r
UGC 7831 	 1.43	 0.00	 56.7	 0.0	 79	  2	17	a
UGC 7831 	 1.45	 0.00	 57.5	 0.0	 76	  2	17	a
UGC 7831 	 1.46	 0.00	 57.9	 0.0	 84	  2	17	a
UGC 7831 	 1.47	 0.00	 58.3	 0.0	 78	  1	17	a
UGC 7831 	 1.47	 0.01	 58.3	 0.4	 83	  4	17	r
UGC 7831 	 1.48	 0.00	 58.7	 0.0	 78	  2	17	a
UGC 7831 	 1.50	 0.01	 59.5	 0.4	 79	  2	17	a
UGC 7831 	 1.50	 0.01	 59.5	 0.4	 78	  4	17	r
UGC 7831 	 1.51	 0.00	 59.9	 0.0	 73	  2	17	a
UGC 7831 	 1.52	 0.00	 60.3	 0.0	 71	  2	17	a
UGC 7831 	 1.54	 0.00	 61.1	 0.0	 78	  2	17	a
UGC 7831 	 1.55	 0.01	 61.5	 0.4	 78	  2	17	a
UGC 7831 	 1.55	 0.01	 61.5	 0.4	 82	  3	17	r
UGC 7831 	 1.57	 0.00	 62.3	 0.0	 76	  2	17	a
UGC 7831 	 1.59	 0.01	 63.1	 0.4	 78	  2	17	a
UGC 7831 	 1.61	 0.00	 63.9	 0.0	 79	  2	17	a
UGC 7831 	 1.61	 0.02	 63.9	 0.8	 83	  4	17	r
UGC 7831 	 1.62	 0.00	 64.3	 0.0	 77	  2	17	a
UGC 7831 	 1.64	 0.01	 65.1	 0.4	 83	  2	17	a
UGC 7831 	 1.66	 0.00	 65.8	 0.0	 76	  3	17	a
UGC 7831 	 1.67	 0.01	 66.2	 0.4	 80	  2	17	a
UGC 7831 	 1.68	 0.03	 66.6	 1.2	 80	  3	17	r
UGC 7831 	 1.69	 0.00	 67.0	 0.0	 77	  2	17	a
UGC 7831 	 1.71	 0.00	 67.8	 0.0	 80	  2	17	a
UGC 7831 	 1.73	 0.01	 68.6	 0.4	 78	  2	17	a
UGC 7831 	 1.74	 0.00	 69.0	 0.0	 85	  3	17	a
UGC 7831 	 1.76	 0.00	 69.8	 0.0	 82	  2	17	a
UGC 7831 	 1.76	 0.02	 69.8	 0.8	 84	  3	17	r
UGC 7831 	 1.77	 0.00	 70.2	 0.0	 83	  3	17	a
UGC 7831 	 1.79	 0.00	 71.0	 0.0	 84	  2	17	a
UGC 7831 	 1.80	 0.01	 71.4	 0.4	 86	  2	17	a
UGC 7831 	 1.82	 0.00	 72.2	 0.0	 85	  3	17	a
UGC 7831 	 1.83	 0.01	 72.6	 0.4	 85	  2	17	a
UGC 7831 	 1.85	 0.00	 73.4	 0.0	 83	  2	17	a
UGC 7831 	 1.86	 0.00	 73.8	 0.0	 84	  1	17	a
UGC 7831 	 1.86	 0.05	 73.8	 2.0	 85	  4	17	r
UGC 7831 	 1.88	 0.00	 74.6	 0.0	 80	  1	17	a
UGC 7831 	 1.89	 0.01	 75.0	 0.4	 76	  1	17	a
UGC 7831 	 1.91	 0.00	 75.8	 0.0	 84	  2	17	a
UGC 7831 	 1.92	 0.01	 76.2	 0.4	 78	  2	17	a
UGC 7831 	 1.94	 0.00	 77.0	 0.0	 80	  2	17	a
UGC 7831 	 1.95	 0.00	 77.3	 0.0	 82	  2	17	a
UGC 7831 	 1.97	 0.00	 78.1	 0.0	 81	  1	17	a
UGC 7831 	 1.98	 0.00	 78.5	 0.0	 78	  1	17	a
UGC 7831 	 1.99	 0.00	 78.9	 0.0	 82	  3	17	a
UGC 7831 	 2.00	 0.00	 79.3	 0.0	 82	  1	17	a
UGC 7831 	 2.02	 0.00	 80.1	 0.0	 82	  2	17	a
UGC 7831 	 2.03	 0.00	 80.5	 0.0	 84	  2	17	a
UGC 7831 	 2.04	 0.00	 80.9	 0.0	 86	  2	17	a
UGC 7831 	 2.05	 0.00	 81.3	 0.0	 82	  2	17	a
UGC 7831 	 2.07	 0.00	 82.1	 0.0	 83	  1	17	a
UGC 7831 	 2.08	 0.00	 82.5	 0.0	 82	  1	17	a
UGC 7831 	 2.09	 0.00	 82.9	 0.0	 82	  2	17	a
UGC 7831 	 2.11	 0.00	 83.7	 0.0	 85	  1	17	a
UGC 7831 	 2.12	 0.01	 84.1	 0.4	 85	  2	17	a
UGC 7831 	 2.13	 0.12	 84.5	 4.8	 79	  3	16	r
UGC 7831 	 2.14	 0.00	 84.9	 0.0	 84	  1	17	a
UGC 7831 	 2.15	 0.01	 85.3	 0.4	 89	  3	17	a
UGC 7831 	 2.17	 0.01	 86.1	 0.4	 91	  2	17	a
UGC 7831 	 2.19	 0.01	 86.9	 0.4	 85	  2	17	a
UGC 7831 	 2.21	 0.00	 87.7	 0.0	 89	  2	17	a
UGC 7831 	 2.23	 0.01	 88.5	 0.4	 85	  1	17	a
UGC 7831 	 2.25	 0.01	 89.2	 0.4	 89	  2	17	a
UGC 7831 	 2.27	 0.01	 90.0	 0.4	 89	  2	17	a
UGC 7831 	 2.29	 0.01	 90.8	 0.4	 95	  1	17	a
UGC 7831 	 2.31	 0.01	 91.6	 0.4	 96	  1	17	a
UGC 7831 	 2.33	 0.00	 92.4	 0.0	 93	  2	17	a
UGC 7831 	 2.35	 0.01	 93.2	 0.4	 92	  2	17	a
UGC 7831 	 2.36	 0.00	 93.6	 0.0	 96	  1	17	a
UGC 7831 	 2.38	 0.00	 94.4	 0.0	 97	  2	17	a
UGC 7831 	 2.39	 0.00	 94.8	 0.0	 94	  2	17	a
UGC 7831 	 2.41	 0.01	 95.6	 0.4	 99	  2	17	a
UGC 7831 	 2.44	 0.01	 96.8	 0.4	 96	  2	17	a
UGC 7831 	 2.48	 0.02	 98.4	 0.8	 94	  1	17	a
UGC 7831 	 2.58	 0.06	102.3	 2.4	 94	  3	13	a
UGC 7853 	 0.04	 0.02	  0.9	 0.5	 -5	  2	 4	a
UGC 7853 	 0.04	 0.00	  0.9	 0.0	  3	  1	 2	r
UGC 7853 	 0.09	 0.01	  2.1	 0.2	 -7	  1	 6	a
UGC 7853 	 0.09	 0.02	  2.1	 0.5	  9	  1	 7	r
UGC 7853 	 0.14	 0.02	  3.2	 0.5	 -3	  2	11	a
